l,q,d
0.01,0.01,0.01
0.54,0.53,0.515
0.373333,0.366667,0.353333
0.8275,0.8075,0.7825
0.896,0.866,0.838
0.778333,0.748333,0.723333
1.17286,1.11,1.08
1.34375,1.245,1.21125
1.34778,1.24667,1.22444
1.247,1.146,1.126
1.59909,1.44818,1.43091
1.78583,1.60167,1.59083
1.87,1.67538,1.66462
1.86714,1.65929,1.64857
1.78267,1.568,1.56333
2.11625,1.82562,1.83938
2.31647,1.99,2.00765
2.45333,2.09722,2.12444
2.51368,2.13526,2.15789
2.5025,2.11,2.1455
2.41762,2.02714,2.06667
2.73409,2.25364,2.31636
2.9413,2.41435,2.49217
3.10542,2.54167,2.63042
3.2224,2.618,2.7084
3.27077,2.63577,2.74231
3.25037,2.60074,2.72259
3.21179,2.54107,2.67679
3.56897,2.75103,2.92345
3.83967,2.91767,3.11267
4.06903,3.05839,3.27161
4.24406,3.15969,3.38375
4.34273,3.21909,3.45697
4.39353,3.22382,3.48
4.43057,3.214,3.49714
4.42028,3.16167,3.45833
4.83405,3.36568,3.72135
5.14263,3.54026,3.93395
5.41949,3.69231,4.11385
5.693,3.81325,4.26075
5.91146,3.89805,4.36854
6.065,3.93,4.42476
6.26558,3.9593,4.51977
6.37136,3.95591,4.54409
6.36911,3.91067,4.50178
6.92674,4.11652,4.78587
7.38468,4.29957,5.0617
7.73646,4.47354,5.28729
8.17531,4.61245,5.4951
8.4738,4.7276,5.655
8.70902,4.8,5.77
9.01019,4.87481,5.96635
9.26981,4.91887,6.11057
9.39407,4.91704,6.13037
9.61382,4.90782,6.15491
10.3632,5.13018,6.52804
11.0349,5.33018,6.94351
11.6476,5.52621,7.34345
12.3634,5.70525,7.65983
13.0852,5.86917,8.01717
13.4921,5.99131,8.2759
14.1106,6.11726,8.61581
14.6671,6.2527,9.0346
15.3817,6.33391,9.25656
16.3637,6.41154,9.63123
17.1621,6.41924,9.87364
19.769,6.69731,10.7897
22.6051,6.97426,12.0332
25.7316,7.24478,13.4743
30.854,7.51214,15.5284
36.3939,7.77394,17.6417
40.486,8.01931,19.581
46.6244,8.30548,22.8004
52.8701,8.5923,26.2585
61.9627,8.88573,30.2288
73.9218,9.2475,35.4582
87.1053,9.61208,41.5609
101.431,10.1522,47.1756
123.276,12.01,54.898
